theta 	horizontal_polarization_intensity 	vertical_polarization_intensity 	x_coordinate 	y_coordinate 	r 	pixel_count
1.4895 	0 	0 	304 	510.5 	NaN 	0
1.4893 	0 	0 	301.9869 	510.3361 	NaN 	0
1.4886 	0 	0 	299.974 	510.1712 	NaN 	0
1.4875 	0 	0 	297.9614 	510.0045 	NaN 	0
1.4859 	0 	0 	295.9492 	509.8352 	NaN 	0
1.4839 	0 	0 	293.9376 	509.6622 	NaN 	0
1.4814 	0 	0 	291.9268 	509.4847 	NaN 	0
1.4785 	0 	0 	289.9168 	509.3018 	NaN 	0
1.4751 	0 	0 	287.9078 	509.1126 	NaN 	0
1.4712 	0 	0 	285.9001 	508.9162 	NaN 	0
1.4669 	0 	0 	283.8936 	508.7117 	NaN 	0
1.4622 	0 	0 	281.8885 	508.4981 	NaN 	0
1.457 	0 	0 	279.8852 	508.2746 	NaN 	0
1.4513 	0 	0 	277.8835 	508.0403 	NaN 	0
1.4452 	0 	0 	275.8838 	507.7943 	NaN 	0
1.4386 	0 	0 	273.8861 	507.5356 	NaN 	0
1.4316 	0 	0 	271.8906 	507.2634 	NaN 	0
1.4241 	11546 	4199 	269.8974 	506.9767 	2.7497 	7
1.4162 	34565 	11435 	267.9067 	506.6748 	3.0227 	24
1.4078 	33519 	10691 	265.9187 	506.3566 	3.1353 	24
1.3989 	32676 	11004 	263.9335 	506.0212 	2.9695 	22
1.3899 	33948 	11020 	261.9511 	505.6679 	3.0806 	24
1.3808 	32032 	10135 	259.9719 	505.2966 	3.1605 	23
1.3718 	33893 	12156 	257.9958 	504.9073 	2.7882 	24
1.3628 	32648 	10984 	256.023 	504.5002 	2.9723 	22
1.3539 	34277 	11425 	254.0537 	504.0754 	3.0002 	24
1.345 	33083 	11788 	252.088 	503.6331 	2.8065 	23
1.3362 	31404 	11130 	250.1261 	503.1734 	2.8216 	24
1.3275 	29897 	10661 	248.168 	502.6964 	2.8043 	22
1.3188 	35582 	12634 	246.2139 	502.2023 	2.8164 	25
1.3101 	35020 	13218 	244.2639 	501.6911 	2.6494 	23
1.3015 	34555 	12608 	242.3181 	501.1631 	2.7407 	24
1.2929 	34852 	11770 	240.3768 	500.6183 	2.9611 	23
1.2844 	34701 	13740 	238.44 	500.0569 	2.5255 	24
1.276 	37471 	13748 	236.5079 	499.4791 	2.7256 	24
1.2675 	31433 	11909 	234.5805 	498.8849 	2.6394 	23
1.2592 	32167 	13086 	232.6581 	498.2744 	2.4581 	23
1.2508 	35008 	13712 	230.7407 	497.6479 	2.5531 	25
1.2425 	31793 	12878 	228.8285 	497.0054 	2.4688 	22
1.2343 	36800 	15592 	226.9217 	496.3471 	2.3602 	25
1.226 	34232 	14683 	225.0203 	495.6732 	2.3314 	23
1.2178 	34217 	14027 	223.1245 	494.9836 	2.4394 	24
1.2095 	34822 	14217 	221.2345 	494.2784 	2.4493 	23
1.2011 	34762 	14944 	219.3506 	493.5576 	2.3262 	24
1.1926 	36004 	15630 	217.4729 	492.8208 	2.3035 	24
1.184 	36981 	16692 	215.6017 	492.0681 	2.2155 	24
1.1753 	34874 	15188 	213.7372 	491.2992 	2.2962 	23
1.1665 	34252 	15053 	211.8796 	490.5142 	2.2754 	24
1.1576 	33174 	15375 	210.0293 	489.7127 	2.1577 	23
1.1486 	33378 	15887 	208.1864 	488.8948 	2.101 	24
1.1394 	31114 	13876 	206.3511 	488.0603 	2.2423 	23
1.1302 	31426 	15624 	204.5238 	487.209 	2.0114 	24
1.1209 	27493 	13632 	202.7045 	486.3409 	2.0168 	23
1.1114 	32265 	15744 	200.8936 	485.4557 	2.0494 	26
1.1019 	26493 	13954 	199.0913 	484.5535 	1.8986 	22
1.0922 	29950 	15694 	197.2978 	483.6341 	1.9084 	23
1.0824 	30148 	15820 	195.5133 	482.6972 	1.9057 	23
1.0726 	30478 	15517 	193.7382 	481.7429 	1.9642 	24
1.0626 	29216 	16555 	191.9725 	480.771 	1.7648 	24
1.0525 	31021 	17164 	190.2166 	479.7813 	1.8073 	23
1.0423 	31233 	19375 	188.4707 	478.7738 	1.612 	23
1.032 	30224 	18228 	186.7349 	477.7483 	1.6581 	23
