theta 	horizontal_polarization_intensity 	vertical_polarization_intensity 	x_coordinate 	y_coordinate 	r 	pixel_count
-0.3847 	10051 	40529 	508.0317 	307.1972 	0.248 	22
-0.3855 	11081 	40642 	507.2827 	309.0474 	0.2726 	20
-0.3879 	10813 	38963 	506.5308 	310.8959 	0.2775 	21
-0.392 	10739 	38064 	505.7733 	312.7411 	0.2821 	21
-0.3977 	13409 	41625 	505.0074 	314.5811 	0.3221 	21
-0.405 	14074 	42718 	504.2303 	316.4143 	0.3295 	21
-0.414 	14258 	42412 	503.4392 	318.2391 	0.3362 	21
-0.4247 	12445 	38942 	502.6312 	320.0536 	0.3196 	21
-0.437 	15410 	44815 	501.8036 	321.8563 	0.3439 	21
-0.451 	13063 	34425 	500.9535 	323.6453 	0.3795 	21
-0.4667 	14849 	35449 	500.0782 	325.419 	0.4189 	20
-0.4841 	13883 	36879 	499.1748 	327.1758 	0.3764 	21
-0.5032 	11546 	31330 	498.2406 	328.9138 	0.3685 	20
-0.524 	14182 	35553 	497.2726 	330.6315 	0.3989 	21
-0.546 	14074 	30545 	496.2682 	332.327 	0.4608 	20
-0.5677 	14444 	30792 	495.2261 	333.9997 	0.4691 	20
-0.5878 	15590 	34551 	494.1487 	335.6509 	0.4512 	22
-0.6063 	12076 	26804 	493.0386 	337.2823 	0.4505 	19
-0.6231 	16369 	27103 	491.8988 	338.8955 	0.604 	22
-0.6382 	18966 	27275 	490.7321 	340.4921 	0.6954 	20
-0.6516 	16110 	28868 	489.5412 	342.0739 	0.5581 	21
-0.6634 	15011 	36315 	488.329 	343.6425 	0.4134 	22
-0.6735 	17230 	33435 	487.0983 	345.1996 	0.5153 	20
-0.682 	15361 	31255 	485.852 	346.7467 	0.4915 	21
-0.6888 	14673 	25157 	484.5927 	348.2856 	0.5833 	21
-0.694 	17421 	28749 	483.3234 	349.8179 	0.606 	22
-0.6976 	17851 	27149 	482.0468 	351.3452 	0.6575 	21
-0.6996 	21139 	26077 	480.7657 	352.8693 	0.8106 	21
-0.7006 	21177 	27051 	479.4831 	354.3917 	0.7829 	21
-0.7022 	22225 	28577 	478.1994 	355.9125 	0.7777 	22
-0.7052 	17475 	24516 	476.9129 	357.4297 	0.7128 	21
-0.7097 	19782 	24566 	475.6214 	358.941 	0.8053 	21
-0.7158 	20997 	27110 	474.323 	360.4444 	0.7745 	22
-0.7233 	26845 	26411 	473.0155 	361.9377 	1.0164 	22
-0.7323 	25243 	26046 	471.6969 	363.4189 	0.9692 	21
-0.7428 	25743 	22833 	470.3652 	364.8856 	1.1274 	20
-0.7549 	23314 	24062 	469.0182 	366.3359 	0.9689 	20
-0.7685 	29521 	24686 	467.6539 	367.7675 	1.1959 	22
-0.7836 	31996 	28467 	466.2702 	369.1783 	1.124 	24
-0.8003 	25109 	21094 	464.8651 	370.5662 	1.1903 	20
-0.8184 	22244 	18721 	463.4365 	371.929 	1.1882 	20
-0.838 	21515 	19234 	461.9824 	373.2646 	1.1186 	22
-0.8584 	27672 	18747 	460.5008 	374.571 	1.4761 	21
-0.8782 	27853 	18490 	458.9918 	375.8478 	1.5064 	20
-0.8971 	26259 	19285 	457.4569 	377.0964 	1.3616 	22
-0.915 	28531 	19865 	455.8979 	378.3176 	1.4362 	21
-0.932 	32672 	22751 	454.3161 	379.5128 	1.4361 	21
-0.9479 	27973 	21624 	452.7134 	380.6828 	1.2936 	21
-0.963 	32168 	18566 	451.0912 	381.829 	1.7326 	20
-0.977 	31249 	21695 	449.4511 	382.9524 	1.4404 	22
-0.9902 	32043 	21440 	447.7949 	384.0541 	1.4945 	21
-1.0024 	26994 	17153 	446.1239 	385.1352 	1.5737 	20
-1.0137 	30001 	19185 	444.4399 	386.1969 	1.5638 	21
-1.0241 	31877 	17203 	442.7444 	387.2402 	1.853 	20
-1.0337 	38499 	16485 	441.0391 	388.2663 	2.3354 	21
-1.0423 	34107 	17878 	439.3255 	389.2763 	1.9078 	20
-1.0505 	40696 	18940 	437.6051 	390.2713 	2.1487 	21
