theta 	horizontal_polarization_intensity 	vertical_polarization_intensity 	x_coordinate 	y_coordinate 	r 	pixel_count
-0.3072 	11094 	43065 	516.5692 	284.7837 	0.2576 	20
-0.3076 	12846 	54779 	515.9644 	286.6903 	0.2345 	22
-0.3089 	10125 	40890 	515.3579 	288.5963 	0.2476 	19
-0.3109 	7493 	34080 	514.7485 	290.5009 	0.2199 	21
-0.3138 	9162 	40232 	514.1345 	292.4037 	0.2277 	22
-0.3175 	10327 	41073 	513.5144 	294.304 	0.2514 	20
-0.322 	8846 	37962 	512.8868 	296.201 	0.233 	20
-0.3273 	12549 	46057 	512.25 	298.0944 	0.2725 	23
-0.3335 	11928 	42785 	511.6027 	299.9832 	0.2788 	20
-0.3404 	8668 	37287 	510.9432 	301.8671 	0.2325 	21
-0.3483 	10773 	36143 	510.27 	303.7452 	0.2981 	20
-0.3569 	12945 	44234 	509.5817 	305.6171 	0.2926 	20
-0.3664 	9829 	39317 	508.8767 	307.482 	0.25 	21
-0.3767 	11011 	39540 	508.1535 	309.3393 	0.2785 	21
-0.3877 	11372 	40595 	507.4106 	311.1884 	0.2801 	21
-0.3993 	10233 	35684 	506.6467 	313.0287 	0.2868 	21
-0.4111 	13459 	41993 	505.8615 	314.8596 	0.3205 	21
-0.4231 	13987 	40435 	505.0548 	316.6806 	0.3459 	21
-0.4352 	13665 	41666 	504.2264 	318.4911 	0.328 	21
-0.4476 	13035 	39587 	503.3762 	320.2906 	0.3293 	21
-0.4602 	13273 	38938 	502.5039 	322.0786 	0.3409 	19
-0.4731 	15074 	39499 	501.6094 	323.8546 	0.3816 	23
-0.4861 	13942 	33852 	500.6924 	325.6179 	0.4119 	20
-0.4994 	15153 	37655 	499.7529 	327.368 	0.4024 	21
-0.5129 	11158 	31578 	498.7906 	329.1044 	0.3533 	21
-0.5266 	13452 	34479 	497.8053 	330.8266 	0.3902 	20
-0.5406 	13350 	29861 	496.7968 	332.5339 	0.4471 	21
-0.5548 	14245 	29729 	495.765 	334.226 	0.4792 	21
-0.569 	14130 	32089 	494.7097 	335.9022 	0.4403 	20
-0.5831 	13066 	29608 	493.631 	337.5623 	0.4413 	22
-0.5966 	16112 	26208 	492.5299 	339.2069 	0.6148 	21
-0.6095 	19477 	28517 	491.4073 	340.8365 	0.683 	21
-0.6219 	15662 	28010 	490.2643 	342.4517 	0.5592 	20
-0.6336 	12696 	31065 	489.1019 	344.0532 	0.4087 	20
-0.6448 	18930 	36637 	487.9209 	345.6414 	0.5167 	22
-0.6554 	15751 	31574 	486.7224 	347.217 	0.4989 	21
-0.6654 	14454 	24812 	485.5074 	348.7806 	0.5825 	22
-0.6749 	15236 	25991 	484.277 	350.3328 	0.5862 	20
-0.6837 	19533 	28824 	483.032 	351.8741 	0.6777 	22
-0.692 	20562 	25139 	481.7734 	353.4052 	0.8179 	21
-0.6997 	18492 	24632 	480.5024 	354.9265 	0.7507 	21
-0.7068 	20494 	26716 	479.2197 	356.4388 	0.7671 	22
-0.7137 	19040 	25663 	477.9265 	357.9426 	0.7419 	21
-0.7212 	19874 	25443 	476.6227 	359.4374 	0.7811 	21
-0.7295 	19633 	25651 	475.3074 	360.9218 	0.7654 	21
-0.7388 	20634 	22479 	473.9795 	362.394 	0.9179 	20
-0.749 	23541 	24324 	472.6379 	363.8526 	0.9678 	21
-0.7602 	29586 	27996 	471.2815 	365.2958 	1.0568 	24
-0.7724 	24618 	25688 	469.9092 	366.7222 	0.9583 	22
-0.7855 	24670 	21163 	468.5201 	368.1301 	1.1657 	19
-0.7996 	26714 	22920 	467.1131 	369.5179 	1.1655 	19
-0.8147 	29446 	24387 	465.6871 	370.8839 	1.2074 	22
-0.8307 	25027 	22204 	464.2409 	372.2267 	1.1271 	23
-0.8478 	21203 	18596 	462.7736 	373.5445 	1.1402 	21
-0.8658 	26174 	18251 	461.2841 	374.8358 	1.4341 	21
-0.8848 	26497 	17345 	459.7713 	376.0991 	1.5276 	20
-0.904 	28803 	19676 	458.2343 	377.3327 	1.4639 	22
-0.9227 	26234 	19220 	456.6736 	378.537 	1.3649 	21
-0.9404 	30859 	22247 	455.0906 	379.7131 	1.3871 	21
-0.9571 	28766 	22223 	453.4869 	380.8625 	1.2944 	20
-0.9728 	29947 	18262 	451.864 	381.9863 	1.6399 	20
-0.9875 	33446 	20648 	450.2232 	383.0858 	1.6198 	22
-1.0013 	29077 	21496 	448.5661 	384.1623 	1.3527 	21
-1.0142 	30575 	18574 	446.8942 	385.2171 	1.6461 	20
-1.026 	24940 	17573 	445.2088 	386.2515 	1.4192 	20
-1.037 	33975 	18585 	443.5116 	387.2667 	1.8281 	22
-1.047 	34805 	16106 	441.8039 	388.2641 	2.161 	20
-1.0561 	36246 	16886 	440.0872 	389.2448 	2.1465 	20
-1.0642 	35521 	18063 	438.3631 	390.2102 	1.9665 	20
-1.0715 	43232 	20363 	436.633 	391.1615 	2.1231 	22
-1.0783 	34209 	18065 	434.8981 	392.0999 	1.8937 	20
-1.0849 	38476 	16249 	433.1585 	393.0259 	2.3679 	20
-1.0915 	41888 	18101 	431.4142 	393.9398 	2.3141 	21
-1.098 	36662 	15186 	429.6648 	394.8418 	2.4142 	20
-1.1044 	38962 	15609 	427.9101 	395.7321 	2.4961 	23
-1.1107 	33011 	13716 	426.15 	396.6112 	2.4068 	19
-1.117 	39439 	14920 	424.3842 	397.4793 	2.6434 	20
-1.1232 	41111 	16208 	422.6125 	398.3365 	2.5365 	23
-1.1293 	33112 	13519 	420.8347 	399.1834 	2.4493 	19
-1.1353 	46262 	14775 	419.0507 	400.02 	3.1311 	21
-1.1412 	39984 	14485 	417.2601 	400.8466 	2.7604 	20
-1.147 	44483 	15053 	415.4627 	401.6637 	2.9551 	21
-1.1527 	45723 	14841 	413.6584 	402.4713 	3.0809 	20
-1.1585 	44742 	15440 	411.847 	403.2699 	2.8978 	21
-1.1651 	43912 	13478 	410.0283 	404.0588 	3.2581 	20
-1.1727 	38237 	13147 	408.2019 	404.8358 	2.9084 	21
-1.1817 	42403 	12938 	406.3678 	405.5981 	3.2774 	20
