theta 	horizontal_polarization_intensity 	vertical_polarization_intensity 	x_coordinate 	y_coordinate 	r 	pixel_count
0.1749 	0.08106 	0.002103 	445.2931 	311.1311 	38.5802 	13
0.4367 	0.07693 	0.01383 	445.2931 	311.1311 	5.564 	13
0.6985 	0.06612 	0.0193 	445.2931 	311.1311 	3.4258 	13
0.9603 	0.04221 	0.03456 	445.2931 	311.1311 	1.2216 	13
1.2221 	0.02631 	0.06104 	445.2931 	311.1311 	0.4309 	13
1.4839 	0.01153 	0.07084 	445.2931 	311.1311 	0.1627 	13
-1.3959 	0.002103 	0.08549 	445.2931 	311.1311 	0.02458 	13
-1.1341 	0.01383 	0.07693 	445.2931 	311.1311 	0.1797 	13
-0.8723 	0.0193 	0.06612 	445.2931 	311.1311 	0.2919 	13
-0.6105 	0.03456 	0.04221 	445.2931 	311.1311 	0.8186 	13
-0.3487 	0.06104 	0.02631 	445.2931 	311.1311 	2.3205 	13
-0.08685 	0.07084 	0.01153 	445.2931 	311.1311 	6.1474 	13
0.1749 	0.08549 	0.002103 	445.2931 	311.1311 	40.6901 	13
0.1872 	0.1632 	0.01143 	442.2762 	311.6827 	14.2804 	27
0.449 	0.1728 	0.02198 	442.2762 	311.6827 	7.8668 	27
0.7108 	0.1516 	0.04223 	442.2762 	311.6827 	3.5912 	27
0.9726 	0.09102 	0.0768 	442.2762 	311.6827 	1.1852 	27
1.2344 	0.04978 	0.1396 	442.2762 	311.6827 	0.3566 	27
1.4962 	0.02355 	0.1468 	442.2762 	311.6827 	0.1604 	27
-1.3836 	0.01143 	0.1658 	442.2762 	311.6827 	0.06893 	27
-1.1218 	0.02198 	0.1728 	442.2762 	311.6827 	0.1271 	27
-0.86 	0.04223 	0.1516 	442.2762 	311.6827 	0.2785 	27
-0.5982 	0.0768 	0.09102 	442.2762 	311.6827 	0.8438 	27
-0.3364 	0.1396 	0.04978 	442.2762 	311.6827 	2.8046 	27
-0.07459 	0.1468 	0.02355 	442.2762 	311.6827 	6.235 	27
0.1872 	0.1658 	0.01143 	442.2762 	311.6827 	14.5076 	27
0.2004 	0.1511 	0.01441 	439.2594 	312.2741 	10.4935 	25
0.4622 	0.1418 	0.02143 	439.2594 	312.2741 	6.618 	25
0.724 	0.1328 	0.04315 	439.2594 	312.2741 	3.0793 	25
0.9858 	0.09387 	0.07408 	439.2594 	312.2741 	1.2673 	25
1.2476 	0.05024 	0.1211 	439.2594 	312.2741 	0.4147 	25
1.5094 	0.02582 	0.147 	439.2594 	312.2741 	0.1755 	25
-1.3704 	0.01441 	0.1729 	439.2594 	312.2741 	0.08326 	25
-1.1086 	0.02143 	0.1418 	439.2594 	312.2741 	0.1511 	25
-0.8468 	0.04315 	0.1328 	439.2594 	312.2741 	0.3247 	25
-0.585 	0.07408 	0.09387 	439.2594 	312.2741 	0.7891 	25
-0.3232 	0.1211 	0.05024 	439.2594 	312.2741 	2.4113 	25
-0.06141 	0.147 	0.02582 	439.2594 	312.2741 	5.6972 	25
0.2004 	0.1729 	0.01441 	439.2594 	312.2741 	12.0101 	25
0.2145 	0.1427 	0.01555 	436.2426 	312.9082 	9.1846 	26
0.4763 	0.1259 	0.01554 	436.2426 	312.9082 	8.1053 	26
0.7381 	0.1061 	0.04048 	436.2426 	312.9082 	2.6226 	26
0.9999 	0.09599 	0.07696 	436.2426 	312.9082 	1.2474 	26
1.2617 	0.0479 	0.1087 	436.2426 	312.9082 	0.4407 	26
1.5235 	0.02507 	0.1524 	436.2426 	312.9082 	0.1645 	26
-1.3563 	0.01555 	0.1673 	436.2426 	312.9082 	0.09285 	26
-1.0945 	0.01554 	0.1259 	436.2426 	312.9082 	0.1234 	26
-0.8327 	0.04048 	0.1061 	436.2426 	312.9082 	0.3813 	26
-0.5709 	0.07696 	0.09599 	436.2426 	312.9082 	0.8017 	26
-0.3091 	0.1087 	0.0479 	436.2426 	312.9082 	2.2691 	26
-0.04732 	0.1524 	0.02507 	436.2426 	312.9082 	6.0808 	26
0.2145 	0.1673 	0.01555 	436.2426 	312.9082 	10.77 	26
0.2294 	0.1573 	0.01219 	433.226 	313.5883 	12.9083 	27
0.4912 	0.1478 	0.0204 	433.226 	313.5883 	7.2496 	27
0.753 	0.1176 	0.03445 	433.226 	313.5883 	3.4136 	27
1.0148 	0.08236 	0.07885 	433.226 	313.5883 	1.0445 	27
1.2766 	0.05116 	0.1057 	433.226 	313.5883 	0.4839 	27
1.5384 	0.02541 	0.1451 	433.226 	313.5883 	0.1751 	27
-1.3414 	0.01219 	0.161 	433.226 	313.5883 	0.07567 	27
-1.0796 	0.0204 	0.1478 	433.226 	313.5883 	0.1379 	27
-0.8178 	0.03445 	0.1176 	433.226 	313.5883 	0.2929 	27
-0.556 	0.07885 	0.08236 	433.226 	313.5883 	0.9574 	27
-0.2942 	0.1057 	0.05116 	433.226 	313.5883 	2.0664 	27
-0.03236 	0.1451 	0.02541 	433.226 	313.5883 	5.7118 	27
0.2294 	0.161 	0.01219 	433.226 	313.5883 	13.2154 	27
0.2452 	0.1424 	0.009214 	430.2095 	314.3173 	15.4666 	25
0.507 	0.1202 	0.02445 	430.2095 	314.3173 	4.9182 	25
0.7688 	0.09768 	0.03523 	430.2095 	314.3173 	2.7735 	25
1.0306 	0.08007 	0.0755 	430.2095 	314.3173 	1.0607 	25
1.2924 	0.05001 	0.08501 	430.2095 	314.3173 	0.5882 	25
1.5542 	0.01874 	0.1239 	430.2095 	314.3173 	0.1512 	25
-1.3256 	0.009214 	0.1316 	430.2095 	314.3173 	0.06997 	25
-1.0638 	0.02445 	0.1202 	430.2095 	314.3173 	0.2033 	25
-0.802 	0.03523 	0.09768 	430.2095 	314.3173 	0.3606 	25
-0.5402 	0.0755 	0.08007 	430.2095 	314.3173 	0.9428 	25
-0.2784 	0.08501 	0.05001 	430.2095 	314.3173 	1.7 	25
-0.01656 	0.1239 	0.01874 	430.2095 	314.3173 	6.6139 	25
0.2452 	0.1316 	0.009214 	430.2095 	314.3173 	14.2913 	25
0.2619 	0.158 	0.01607 	427.1931 	315.0982 	9.8388 	28
0.5237 	0.1308 	0.02572 	427.1931 	315.0982 	5.0891 	28
0.7855 	0.1103 	0.04014 	427.1931 	315.0982 	2.7481 	28
1.0473 	0.06227 	0.06974 	427.1931 	315.0982 	0.8929 	28
1.3091 	0.04496 	0.09974 	427.1931 	315.0982 	0.4507 	28
-1.5707 	0.0236 	0.1225 	427.1931 	315.0982 	0.1926 	28
-1.3089 	0.01607 	0.1264 	427.1931 	315.0982 	0.1271 	28
-1.0471 	0.02572 	0.1308 	427.1931 	315.0982 	0.1965 	28
-0.7853 	0.04014 	0.1103 	427.1931 	315.0982 	0.3639 	28
-0.5235 	0.06974 	0.06227 	427.1931 	315.0982 	1.12 	28
-0.2617 	0.09974 	0.04496 	427.1931 	315.0982 	2.2186 	28
