theta 	horizontal_polarization_intensity 	vertical_polarization_intensity 	x_coordinate 	y_coordinate 	r 	pixel_count
1.4853 	0 	0 	299 	510.5 	NaN 	0
1.4851 	0 	0 	296.9824 	510.3272 	NaN 	0
1.4842 	0 	0 	294.9651 	510.1532 	NaN 	0
1.4828 	0 	0 	292.9483 	509.977 	NaN 	0
1.4808 	0 	0 	290.9321 	509.7974 	NaN 	0
1.4782 	0 	0 	288.917 	509.6131 	NaN 	0
1.4751 	0 	0 	286.903 	509.4232 	NaN 	0
1.4713 	1142 	516 	284.8904 	509.2264 	2.2132 	2
1.467 	11274 	3234 	282.8795 	509.0217 	3.4861 	10
1.4622 	25452 	8566 	280.8705 	508.8078 	2.9713 	18
1.4567 	32481 	10928 	278.8636 	508.5837 	2.9723 	23
1.4507 	32763 	10407 	276.8592 	508.3481 	3.1482 	24
1.444 	34049 	11785 	274.8573 	508.1 	2.8892 	23
1.4368 	32504 	9972 	272.8583 	507.8383 	3.2595 	22
1.429 	32987 	10634 	270.8624 	507.5616 	3.102 	23
1.4207 	32402 	10912 	268.8698 	507.2691 	2.9694 	24
1.4117 	31531 	10166 	266.8808 	506.9594 	3.1016 	22
1.4022 	35508 	11189 	264.8955 	506.6315 	3.1735 	25
1.392 	33020 	11285 	262.9144 	506.2841 	2.926 	23
1.3813 	32130 	9868 	260.9375 	505.9163 	3.256 	23
1.3701 	30157 	9785 	258.9651 	505.5268 	3.082 	22
1.3586 	34917 	12400 	256.9974 	505.1146 	2.8159 	25
1.3474 	33084 	10614 	255.0346 	504.6801 	3.117 	23
1.3364 	32742 	11156 	253.0765 	504.2237 	2.9349 	23
1.3258 	31070 	11241 	251.1232 	503.7462 	2.764 	23
1.3155 	33252 	11565 	249.1747 	503.2482 	2.8752 	25
1.3054 	30605 	11281 	247.231 	502.7302 	2.713 	22
1.2957 	33962 	12276 	245.292 	502.193 	2.7665 	24
1.2863 	34212 	13062 	243.3579 	501.6371 	2.6192 	23
1.2772 	34576 	11802 	241.4285 	501.0632 	2.9297 	24
1.2684 	37573 	13752 	239.5039 	500.4719 	2.7322 	24
1.2599 	34055 	13106 	237.5841 	499.8638 	2.5984 	23
1.2517 	32122 	12032 	235.6691 	499.2396 	2.6697 	22
1.2437 	36024 	14052 	233.7589 	498.5999 	2.5636 	26
1.2361 	31108 	12281 	231.8535 	497.9452 	2.533 	22
1.2288 	35444 	13842 	229.9528 	497.2763 	2.5606 	25
1.2218 	33387 	14591 	228.0569 	496.5937 	2.2882 	24
1.215 	34505 	14353 	226.1658 	495.8982 	2.404 	23
1.2086 	34401 	14533 	224.2795 	495.1902 	2.3671 	23
1.2024 	35619 	14533 	222.398 	494.4704 	2.4509 	24
1.1965 	36018 	15193 	220.5212 	493.7396 	2.3707 	24
1.1907 	35174 	15323 	218.6493 	492.9981 	2.2955 	24
1.1847 	36488 	16194 	216.7824 	492.2459 	2.2532 	23
1.1785 	36283 	16023 	214.9207 	491.4825 	2.2644 	23
1.172 	36941 	15796 	213.0647 	490.7076 	2.3386 	25
1.1652 	33829 	15854 	211.2144 	489.9207 	2.1338 	23
1.1582 	33312 	15256 	209.3703 	489.1213 	2.1835 	23
1.151 	31272 	15272 	207.5326 	488.3092 	2.0477 	23
1.1435 	32481 	14201 	205.7015 	487.4839 	2.2872 	24
1.1357 	27918 	14493 	203.8775 	486.6448 	1.9263 	23
1.1277 	30608 	14802 	202.0606 	485.7917 	2.0678 	25
1.1195 	25703 	12915 	200.2513 	484.9242 	1.9902 	21
1.111 	33268 	17382 	198.4497 	484.0417 	1.9139 	25
1.1022 	27134 	14005 	196.6562 	483.1439 	1.9375 	21
1.0932 	33556 	17405 	194.8711 	482.2303 	1.928 	26
1.084 	27165 	14679 	193.0945 	481.3007 	1.8506 	22
1.0745 	30409 	17370 	191.3269 	480.3544 	1.7507 	22
1.0647 	32773 	19327 	189.5685 	479.3911 	1.6957 	24
1.0547 	31680 	19253 	187.8195 	478.4105 	1.6455 	23
1.0445 	32163 	19673 	186.0803 	477.412 	1.6349 	24
1.034 	30266 	16811 	184.351 	476.3953 	1.8004 	21
1.0233 	33384 	20607 	182.6321 	475.3599 	1.62 	24
1.0126 	32416 	17476 	180.9238 	474.3059 	1.8549 	23
1.0019 	32086 	19750 	179.2264 	473.2334 	1.6246 	23
0.9911 	29614 	19311 	177.5404 	472.1425 	1.5335 	23
0.9803 	29464 	18294 	175.866 	471.0333 	1.6106 	24
0.9695 	29856 	19851 	174.2036 	469.906 	1.504 	23
0.9586 	27893 	19820 	172.5536 	468.7607 	1.4073 	23
0.9476 	26011 	17768 	170.9162 	467.5975 	1.4639 	21
0.9366 	27253 	17489 	169.2919 	466.4165 	1.5583 	22
0.9256 	26942 	18324 	167.681 	465.2178 	1.4703 	23
0.9145 	28719 	18618 	166.0838 	464.0017 	1.5425 	23
0.9033 	25932 	18884 	164.5006 	462.7681 	1.3732 	22
0.8921 	27670 	19183 	162.9319 	461.5173 	1.4424 	23
0.8807 	28423 	19901 	161.3779 	460.2494 	1.4282 	23
0.8694 	26246 	17876 	159.839 	458.9644 	1.4682 	22
0.8579 	27157 	20113 	158.3156 	457.6626 	1.3502 	22
0.8464 	28831 	23595 	156.808 	456.3439 	1.2219 	24
0.8348 	25892 	20251 	155.3165 	455.0087 	1.2786 	22
0.8231 	21588 	15764 	153.8414 	453.6569 	1.3694 	20
0.8114 	21357 	17436 	152.3832 	452.2887 	1.2249 	20
0.7998 	23633 	21177 	150.9421 	450.9044 	1.116 	23
0.7885 	22917 	19842 	149.5177 	449.5043 	1.155 	22
0.7778 	23352 	21167 	148.1093 	448.0892 	1.1032 	23
0.7675 	19948 	19535 	146.7162 	446.6599 	1.0211 	19
0.7577 	23278 	23042 	145.3378 	445.2168 	1.0102 	21
0.7484 	27641 	26788 	143.9735 	443.7608 	1.0318 	22
0.7395 	28968 	28183 	142.6225 	442.2926 	1.0279 	24
0.7311 	23016 	25333 	141.2842 	440.8127 	0.9085 	23
0.7232 	22616 	23074 	139.958 	439.3219 	0.9802 	22
0.7158 	22608 	23347 	138.6431 	437.8209 	0.9683 	21
0.7088 	24853 	27134 	137.339 	436.3103 	0.9159 	23
0.7023 	22723 	25998 	136.0449 	434.7908 	0.874 	21
0.6963 	22670 	25298 	134.7602 	433.2631 	0.8961 	23
0.6908 	22609 	23865 	133.4841 	431.7279 	0.9474 	22
0.6858 	24009 	25515 	132.2162 	430.1859 	0.941 	24
0.6812 	23459 	25577 	130.9556 	428.6377 	0.9172 	23
0.6771 	22381 	26136 	129.7018 	427.084 	0.8563 	23
0.6734 	21648 	26476 	128.454 	425.5256 	0.8176 	22
0.6703 	22916 	27983 	127.2117 	423.963 	0.8189 	23
0.6675 	24006 	30321 	125.974 	422.397 	0.7917 	24
0.6648 	22375 	28898 	124.7406 	420.828 	0.7743 	22
0.6617 	21772 	28408 	123.5121 	419.2559 	0.7664 	23
0.6581 	21450 	27916 	122.2891 	417.6801 	0.7684 	23
0.654 	20337 	26492 	121.0727 	416.1002 	0.7677 	23
0.6494 	20077 	24830 	119.8636 	414.5156 	0.8086 	23
0.6443 	19862 	26516 	118.6627 	412.9258 	0.7491 	21
0.6387 	21099 	32650 	117.4709 	411.3303 	0.6462 	22
0.6326 	21473 	31124 	116.2889 	409.7286 	0.6899 	23
0.626 	19340 	27485 	115.1178 	408.1202 	0.7037 	22
0.6189 	18374 	28424 	113.9582 	406.5046 	0.6464 	23
0.6113 	18168 	29760 	112.811 	404.8813 	0.6105 	23
0.6032 	16888 	25705 	111.6772 	403.2498 	0.657 	22
